iter	Passed	Remaining
0	28	14121
1	51	12743
2	75	12555
3	100	12435
4	124	12344
5	147	12173
6	171	12084
7	195	11999
8	219	11971
9	244	11990
10	270	12017
11	295	12008
12	318	11936
13	341	11853
14	365	11830
15	391	11845
16	415	11800
17	438	11747
18	462	11714
19	486	11672
20	509	11614
21	533	11587
22	557	11560
23	579	11500
24	603	11460
25	630	11486
26	655	11483
27	679	11461
28	703	11425
29	727	11398
30	752	11391
31	778	11385
32	802	11362
33	825	11312
34	850	11293
35	875	11278
36	900	11264
37	924	11235
38	949	11220
39	973	11198
40	1000	11195
41	1024	11167
42	1047	11130
43	1069	11085
44	1092	11047
45	1116	11014
46	1142	11007
47	1167	10991
48	1189	10945
49	1211	10903
50	1233	10863
51	1258	10841
52	1284	10829
53	1306	10792
54	1328	10747
55	1350	10707
56	1373	10674
57	1397	10647
58	1420	10617
59	1443	10586
60	1467	10561
61	1491	10535
62	1516	10521
63	1539	10488
64	1562	10457
65	1585	10423
66	1607	10388
67	1630	10360
68	1654	10336
69	1677	10307
70	1699	10270
71	1723	10244
72	1746	10217
73	1770	10192
74	1793	10164
75	1818	10142
76	1840	10111
77	1863	10083
78	1889	10067
79	1912	10042
80	1936	10017
81	1960	9991
82	1981	9955
83	2003	9921
84	2027	9896
85	2050	9872
86	2073	9840
87	2095	9811
88	2117	9778
89	2141	9756
90	2163	9724
91	2186	9697
92	2210	9674
93	2234	9651
94	2260	9636
95	2285	9618
96	2310	9600
97	2336	9585
98	2360	9560
99	2384	9536
100	2408	9513
101	2431	9486
102	2455	9465
103	2479	9439
104	2503	9416
105	2527	9394
106	2550	9369
107	2575	9349
108	2599	9325
109	2625	9309
110	2649	9284
111	2675	9267
112	2699	9246
113	2723	9221
114	2746	9195
115	2770	9171
116	2794	9146
117	2818	9125
118	2845	9109
119	2869	9087
120	2894	9066
121	2917	9040
122	2941	9016
123	2964	8990
124	2988	8966
125	3013	8945
126	3037	8920
127	3059	8892
128	3082	8866
129	3106	8841
130	3132	8822
131	3156	8799
132	3181	8779
133	3205	8755
134	3228	8729
135	3253	8709
136	3280	8691
137	3304	8669
138	3329	8647
139	3355	8627
140	3378	8601
141	3402	8579
142	3427	8556
143	3450	8531
144	3474	8506
145	3498	8482
146	3522	8458
147	3545	8431
148	3568	8405
149	3590	8378
150	3614	8354
151	3639	8332
152	3665	8313
153	3688	8287
154	3713	8266
155	3738	8243
156	3761	8217
157	3783	8190
158	3807	8165
159	3831	8141
160	3853	8114
161	3878	8092
162	3901	8066
163	3924	8041
164	3947	8015
165	3973	7994
166	3996	7969
167	4018	7940
168	4040	7912
169	4063	7888
170	4086	7861
171	4109	7837
172	4132	7811
173	4155	7785
174	4178	7759
175	4200	7733
176	4224	7709
177	4248	7685
178	4274	7665
179	4296	7638
180	4320	7614
181	4343	7589
182	4367	7565
183	4392	7543
184	4415	7518
185	4437	7490
186	4458	7462
187	4480	7435
188	4504	7412
189	4526	7386
190	4550	7361
191	4572	7335
