cycle,timestamp,current_price,snapshot_last_price,predicted_price_1m,predicted_price_5m,predicted_price_10m,predicted_price_15m,predicted_price_30m,predicted_price_60m,move_1m_pct,move_5m_pct,move_10m_pct,move_15m_pct,move_30m_pct,move_60m_pct,signal,signal_type,entry_price,target_exit_price,stop_loss,take_profit,signal_reason,position_side,position_avg_entry,position_qty,position_target_exit,position_stop_loss,position_take_profit,position_dca_count,position_unrealized_pnl,position_return_pct,free_cash,realized_pnl_total,account_equity,model_fitted_at,model_expires_at,fit_triggered,fit_sec,matured_60m_count,latest_abs_err_60m,latest_pct_err_60m
1,2026-03-09 06:37:00+00:00,67346.6,67344.2,67346.39257586193,67345.89803208814,67348.35718548455,67345.65067399478,67340.59000598296,67330.40225604092,-0.00030799496645306235,-0.001042321233535315,0.0026091673292372164,-0.0014096123712614705,-0.008923975400465523,-0.02405131656102455,hold,none,67346.6,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,True,1.2476618999789935,0,,
2,2026-03-09 06:38:00+00:00,67356.2,67356.2,67356.14449297055,67354.82249475218,67357.91039875498,67353.6574581465,67349.12250205319,67340.24968786367,-8.240819620031203e-05,-0.002045105347114884,0.002539333802942245,-0.0037747703307222658,-0.01050756715315071,-0.023680540375381476,hold,none,67356.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
3,2026-03-09 06:39:00+00:00,67370.1,67370.1,67367.60188566011,67370.84454757906,67369.76824816488,67367.29181757304,67362.91794449625,67353.23724404504,-0.003708046061812187,0.0011051602700096197,-0.0004924318579346831,-0.004168291908368538,-0.010660597956302365,-0.025030029575379142,hold,none,67370.1,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
4,2026-03-09 06:41:00+00:00,67317.4,67300.0,67320.17688601186,67322.8089870991,67320.17208696042,67318.27184796562,67313.02861320952,67301.6220224686,0.004125064265503298,0.00803505052051623,0.004117935274416951,0.0012951301827213157,-0.006493695226605922,-0.023438186161972574,hold,none,67317.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
5,2026-03-09 06:42:00+00:00,67270.9,67265.7,67269.99422104226,67273.81355333446,67270.87808584764,67269.2126324595,67262.12518756786,67251.878470728,-0.0013464647533156793,0.004331075300711973,-3.257597617212227e-05,-0.0025083171779960445,-0.013043994404915438,-0.028276014252814896,hold,none,67270.9,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
6,2026-03-09 06:43:00+00:00,67310.2,67310.2,67312.30076481735,67313.2480055986,67308.92451673017,67309.62398172254,67301.44278503167,67292.13007178267,0.0031210200197806515,0.004528296749373162,-0.0018949331153761406,-0.0008557667002251357,-0.013010234657340192,-0.026845750298365445,hold,none,67310.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
7,2026-03-09 06:44:00+00:00,67327.0,67327.0,67327.08083120153,67325.98558945248,67323.45867478845,67325.33065658963,67315.79082925012,67306.65410539684,0.00012005763145861437,-0.001506692036656876,-0.005259888620545716,-0.0024794561028440576,-0.016648849272771216,-0.030219517583085498,hold,none,67327.0,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
8,2026-03-09 06:45:00+00:00,67306.2,67306.3,67307.82620314484,67303.97067892825,67302.18423698869,67303.6811798002,67293.75459989281,67283.79166576902,0.002416126812754271,-0.003312207600114636,-0.005966408757751562,-0.0037423301267880404,-0.01849071869632901,-0.033293120442057234,hold,none,67306.2,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
9,2026-03-09 06:46:00+00:00,67259.4,67254.8,67259.54101959917,67256.20692882803,67254.08568785126,67253.82700436341,67245.11566720402,67234.63967013624,0.00020966526490528992,-0.004747397645477047,-0.007901218489514417,-0.0082858241919892,-0.0212376750253096,-0.036813188734596825,hold,none,67259.4,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
10,2026-03-09 06:47:00+00:00,67256.8,67258.4,67256.29923599362,67253.06105890466,67251.46904883283,67251.24289621098,67242.29363373911,67230.6616196436,-0.0007445552068885419,-0.005559201590543683,-0.00792626346655112,-0.008262515892842881,-0.021568623932288755,-0.03886355038659195,hold,none,67256.8,,,,multi-horizon path not aligned for entry,flat,,0.0,,,,0,0.0,,10000.0,0.0,10000.0,2026-03-09 06:37:00+00:00,2026-03-09 07:37:00+00:00,False,1.2476618999789935,0,,
