week,start_ts,end_ts,raw_points,clean_points
1,2025-06-23 07:00:00+00:00,2025-06-30 06:00:00+00:00,168,166
2,2025-05-10 02:00:00+00:00,2025-05-17 01:00:00+00:00,168,168
3,2022-12-07 22:00:00+00:00,2022-12-14 21:00:00+00:00,168,164
4,2024-02-10 21:00:00+00:00,2024-02-17 20:00:00+00:00,168,168
5,2023-03-22 05:00:00+00:00,2023-03-29 04:00:00+00:00,168,167
6,2023-04-25 18:00:00+00:00,2023-05-02 17:00:00+00:00,168,164
7,2026-02-18 23:00:00+00:00,2026-02-25 22:00:00+00:00,168,167
8,2024-01-22 00:00:00+00:00,2024-01-28 23:00:00+00:00,168,168
9,2023-08-09 14:00:00+00:00,2023-08-16 13:00:00+00:00,168,167
10,2023-07-24 18:00:00+00:00,2023-07-31 17:00:00+00:00,168,168
11,2023-05-10 13:00:00+00:00,2023-05-17 12:00:00+00:00,168,167
12,2022-03-07 21:00:00+00:00,2022-03-14 20:00:00+00:00,168,167
13,2024-05-08 17:00:00+00:00,2024-05-15 16:00:00+00:00,168,167
14,2023-12-15 23:00:00+00:00,2023-12-22 22:00:00+00:00,168,168
15,2022-04-27 07:00:00+00:00,2022-05-04 06:00:00+00:00,168,168
16,2022-10-17 10:00:00+00:00,2022-10-24 09:00:00+00:00,168,168
17,2024-05-24 11:00:00+00:00,2024-05-31 10:00:00+00:00,168,168
18,2025-03-22 16:00:00+00:00,2025-03-29 15:00:00+00:00,168,168
19,2025-07-06 05:00:00+00:00,2025-07-13 04:00:00+00:00,168,166
20,2024-09-11 04:00:00+00:00,2024-09-18 03:00:00+00:00,168,168
21,2024-07-30 13:00:00+00:00,2024-08-06 12:00:00+00:00,168,167
22,2024-10-07 02:00:00+00:00,2024-10-14 01:00:00+00:00,168,168
23,2023-07-03 16:00:00+00:00,2023-07-10 15:00:00+00:00,168,167
24,2023-11-30 20:00:00+00:00,2023-12-07 19:00:00+00:00,168,168
25,2022-07-05 03:00:00+00:00,2022-07-12 02:00:00+00:00,168,168
26,2022-05-08 22:00:00+00:00,2022-05-15 21:00:00+00:00,168,168
27,2022-05-06 22:00:00+00:00,2022-05-13 21:00:00+00:00,168,168
28,2023-07-22 16:00:00+00:00,2023-07-29 15:00:00+00:00,168,167
29,2022-07-18 13:00:00+00:00,2022-07-25 12:00:00+00:00,168,168
30,2024-10-28 07:00:00+00:00,2024-11-04 06:00:00+00:00,168,167
31,2022-10-17 15:00:00+00:00,2022-10-24 14:00:00+00:00,168,167
32,2023-08-17 14:00:00+00:00,2023-08-24 13:00:00+00:00,168,166
33,2025-03-09 21:00:00+00:00,2025-03-16 20:00:00+00:00,168,168
34,2022-09-28 06:00:00+00:00,2022-10-05 05:00:00+00:00,168,167
35,2023-05-23 23:00:00+00:00,2023-05-30 22:00:00+00:00,168,168
36,2022-04-25 06:00:00+00:00,2022-05-02 05:00:00+00:00,168,168
37,2025-08-08 02:00:00+00:00,2025-08-15 01:00:00+00:00,168,168
38,2023-11-08 18:00:00+00:00,2023-11-15 17:00:00+00:00,168,165
39,2025-11-03 04:00:00+00:00,2025-11-10 03:00:00+00:00,168,168
40,2023-10-29 03:00:00+00:00,2023-11-05 02:00:00+00:00,168,167
41,2022-05-17 10:00:00+00:00,2022-05-24 09:00:00+00:00,168,168
42,2024-07-07 13:00:00+00:00,2024-07-14 12:00:00+00:00,168,167
43,2025-10-23 22:00:00+00:00,2025-10-30 21:00:00+00:00,168,168
44,2022-11-08 12:00:00+00:00,2022-11-15 11:00:00+00:00,168,168
45,2023-06-20 01:00:00+00:00,2023-06-27 00:00:00+00:00,168,167
46,2025-10-31 01:00:00+00:00,2025-11-07 00:00:00+00:00,168,168
47,2024-01-16 09:00:00+00:00,2024-01-23 08:00:00+00:00,168,168
48,2024-12-07 00:00:00+00:00,2024-12-13 23:00:00+00:00,168,168
49,2024-06-17 06:00:00+00:00,2024-06-24 05:00:00+00:00,168,168
50,2025-08-31 21:00:00+00:00,2025-09-07 20:00:00+00:00,168,166
51,2023-02-19 04:00:00+00:00,2023-02-26 03:00:00+00:00,168,168
52,2022-03-31 17:00:00+00:00,2022-04-07 16:00:00+00:00,168,168
53,2024-10-19 10:00:00+00:00,2024-10-26 09:00:00+00:00,168,168
54,2024-12-08 07:00:00+00:00,2024-12-15 06:00:00+00:00,168,168
55,2023-01-07 05:00:00+00:00,2023-01-14 04:00:00+00:00,168,161
56,2025-03-02 06:00:00+00:00,2025-03-09 05:00:00+00:00,168,167
57,2025-05-25 22:00:00+00:00,2025-06-01 21:00:00+00:00,168,168
58,2022-08-09 23:00:00+00:00,2022-08-16 22:00:00+00:00,168,167
59,2023-06-17 04:00:00+00:00,2023-06-24 03:00:00+00:00,168,167
60,2024-05-03 19:00:00+00:00,2024-05-10 18:00:00+00:00,168,168
61,2024-11-15 02:00:00+00:00,2024-11-22 01:00:00+00:00,168,168
62,2025-08-16 02:00:00+00:00,2025-08-23 01:00:00+00:00,168,167
63,2024-12-03 02:00:00+00:00,2024-12-10 01:00:00+00:00,168,168
64,2023-10-08 11:00:00+00:00,2023-10-15 10:00:00+00:00,168,168
65,2024-06-22 19:00:00+00:00,2024-06-29 18:00:00+00:00,168,167
66,2025-10-29 00:00:00+00:00,2025-11-04 23:00:00+00:00,168,168
67,2025-08-02 12:00:00+00:00,2025-08-09 11:00:00+00:00,168,168
68,2024-08-05 06:00:00+00:00,2024-08-12 05:00:00+00:00,168,165
69,2024-12-30 11:00:00+00:00,2025-01-06 10:00:00+00:00,168,167
70,2025-05-04 12:00:00+00:00,2025-05-11 11:00:00+00:00,168,168
71,2022-08-06 13:00:00+00:00,2022-08-13 12:00:00+00:00,168,167
72,2024-02-01 12:00:00+00:00,2024-02-08 11:00:00+00:00,168,168
73,2024-03-07 16:00:00+00:00,2024-03-14 15:00:00+00:00,168,168
74,2023-11-25 22:00:00+00:00,2023-12-02 21:00:00+00:00,168,168
