week,start_ts,end_ts,raw_points,clean_points
1,2023-08-16 22:00:00+00:00,2023-08-23 21:00:00+00:00,168,166
2,2025-03-03 00:00:00+00:00,2025-03-09 23:00:00+00:00,168,167
3,2024-12-01 12:00:00+00:00,2024-12-08 11:00:00+00:00,168,168
4,2026-02-05 04:00:00+00:00,2026-02-12 03:00:00+00:00,168,168
5,2024-04-13 05:00:00+00:00,2024-04-20 04:00:00+00:00,168,168
6,2022-08-31 19:00:00+00:00,2022-09-07 18:00:00+00:00,168,167
7,2025-03-06 11:00:00+00:00,2025-03-13 10:00:00+00:00,168,167
8,2026-02-06 09:00:00+00:00,2026-02-13 08:00:00+00:00,168,168
9,2024-10-22 05:00:00+00:00,2024-10-29 04:00:00+00:00,168,168
10,2023-05-30 16:00:00+00:00,2023-06-06 15:00:00+00:00,168,167
