combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
103,100000,8,0.005,43.0,1.0,0.005196080542020339,0.0008367243236147664,0.03235337219821867,51.4261315115286,99.97555226243601,1.1050906424172589,4603,1419,4362,1326,0.514261315115286,46.9
16,2000,8,0.005,43.0,1.5,0.005198845537225866,0.0008368291473632839,0.03228833561153701,51.485909479077705,99.9691382183001,1.1048685446517847,4738,1291,4490,1191,0.5148590947907771,26.2
39,2000,8,0.005,43.0,0.5,0.005198845537225866,0.0008368291473632839,0.03228833561153701,51.485909479077705,99.9691382183001,1.1048685446517847,4738,1291,4490,1191,0.5148590947907771,27.4
116,10000,8,0.05,3.0,1.0,0.005198326252565795,0.0008356362328288478,0.03173290737783154,51.35781383432963,100.08359531163971,1.1029736267473842,4766,1248,4533,1163,0.5135781383432964,6.3
127,100000,8,0.05,3.0,1.0,0.005198326252565795,0.0008356362328288478,0.03173290737783154,51.35781383432963,100.08359531163971,1.1029736267473842,4766,1248,4533,1163,0.5135781383432964,6.0
91,100000,8,0.05,11.0,1.0,0.005199603758980316,0.0008372431192810808,0.03153225900766926,51.51152860802733,100.0464561777415,1.1022899018683796,4986,1046,4735,943,0.5151152860802732,6.3
112,5000,8,0.05,11.0,1.0,0.005199603758980316,0.0008372431192810808,0.03153225900766926,51.51152860802733,100.0464561777415,1.1022899018683796,4986,1046,4735,943,0.5151152860802732,6.5
15,2000,6,0.01,15.0,1.0,0.005197181443919402,0.0008365194522778666,0.031157964294392004,51.66524338172502,100.03472529737213,1.1010156165727194,4647,1403,4378,1282,0.5166524338172502,6.6
81,5000,6,0.01,15.0,1.5,0.005197181443919402,0.0008365194522778666,0.031157964294392004,51.66524338172502,100.03472529737213,1.1010156165727194,4647,1403,4378,1282,0.5166524338172502,6.6
2,2000,8,0.03,15.0,0.5,0.005199297866330046,0.0008371032767335402,0.029039327319755275,51.528608027327074,100.00134922675336,1.0938309247178797,4826,1208,4573,1103,0.5152860802732707,6.9
82,25000,8,0.03,15.0,1.0,0.005199297866330046,0.0008371032767335402,0.029039327319755275,51.528608027327074,100.00134922675336,1.0938309247178797,4826,1208,4573,1103,0.5152860802732707,6.8
21,2000,6,0.01,7.0,0.5,0.005197935166634122,0.000836637053257852,0.028141416236979792,51.13578138343296,100.06102593386454,1.0908003427675925,4919,1069,4712,1010,0.5113578138343297,5.1
28,25000,6,0.01,7.0,1.0,0.005197935166634122,0.000836637053257852,0.028141416236979792,51.13578138343296,100.06102593386454,1.0908003427675925,4919,1069,4712,1010,0.5113578138343297,5.2
29,100000,6,0.01,7.0,0.5,0.005197935166634122,0.000836637053257852,0.028141416236979792,51.13578138343296,100.06102593386454,1.0908003427675925,4919,1069,4712,1010,0.5113578138343297,5.5
7,2000,8,0.1,43.0,0.5,0.005193772740030395,0.000836125441599144,0.02792302749128239,51.118701964133216,99.9786356575791,1.0900645395954711,4818,1168,4613,1111,0.5111870196413322,7.1
22,25000,8,0.1,43.0,0.5,0.005193772740030395,0.000836125441599144,0.02792302749128239,51.118701964133216,99.9786356575791,1.0900645395954711,4818,1168,4613,1111,0.5111870196413322,6.9
75,100000,8,0.1,43.0,0.5,0.005193772740030395,0.000836125441599144,0.02792302749128239,51.118701964133216,99.9786356575791,1.0900645395954711,4818,1168,4613,1111,0.5111870196413322,6.9
60,2000,6,0.03,43.0,0.5,0.005196583325963579,0.0008365961468332902,0.027907161148330435,51.118701964133216,99.9895117534782,1.0900111017994296,4170,1816,3965,1759,0.5111870196413322,6.0
79,100000,6,0.03,43.0,1.5,0.005196583325963579,0.0008365961468332902,0.027907161148330435,51.118701964133216,99.9895117534782,1.0900111017994296,4170,1816,3965,1759,0.5111870196413322,6.0
